20140101,1
20140102,11
20140103,9
20140105,4
20140106,10
20140107,12
20140108,10
20140109,9
20140110,4
20140111,1
20140112,1
20140113,12
20140114,4
20140115,13
20140116,8
20140117,5
20140120,5
20140121,3
20140122,12
20140123,9
20140124,11
20140125,1
20140126,6
20140127,14
20140128,14
20140129,6
20140130,11
20140131,6
20140202,5
20140203,7
20140204,16
20140205,7
20140206,5
20140207,9
20140209,2
20140210,16
20140211,8
20140212,14
20140213,12
20140214,6
20140216,1
20140217,1
20140218,7
20140219,6
20140220,10
20140221,8
20140222,1
20140223,4
20140224,11
20140225,4
20140226,12
20140227,8
20140228,4
20140301,1
20140303,11
20140304,7
20140305,5
20140306,7
20140307,6
20140309,3
20140310,5
20140311,4
20140312,4
20140313,6
20140314,7
20140315,1
20140316,3
20140317,4
20140318,8
20140319,10
20140320,7
20140321,2
20140323,3
20140324,11
20140325,12
20140326,12
20140327,6
20140328,9
20140329,1
20140330,3
20140331,11
20140401,6
20140402,6
20140403,4
20140404,7
20140406,1
20140407,9
20140408,6
20140409,7
20140410,7
20140411,6
20140414,7
20140415,11
20140416,5
20140417,5
20140418,2
20140420,3
20140421,11
20140422,6
20140423,17
20140424,22
20140425,13
20140426,1
20140427,1
20140428,8
20140429,17
20140430,7
20140501,11
20140502,5
20140504,1
20140505,11
20140506,12
20140507,5
20140508,8
20140509,20
20140511,6
20140512,12
20140513,4
20140514,7
20140515,10
20140516,11
20140518,3
20140519,8
20140520,9
20140521,9
20140522,12
20140523,4
20140526,2
20140527,11
20140528,6
20140529,8
20140530,11
20140601,2
20140602,11
20140603,11
20140604,8
20140605,6
20140606,3
20140608,1
20140609,7
20140610,11
20140611,11
20140612,11
20140613,9
20140615,5
20140616,6
20140617,12
20140618,8
20140619,10
20140620,6
20140622,2
20140623,5
20140624,9
20140625,10
20140626,7
20140627,3
20140629,1
20140630,7
20140701,9
20140702,4
20140703,11
20140704,2
20140706,3
20140707,8
20140708,11
20140709,10
20140710,12
20140711,12
20140713,4
20140714,9
20140715,8
20140716,14
20140717,9
20140718,8
20140720,1
20140721,10
20140722,11
20140723,16
20140724,8
20140725,6
20140728,10
20140729,13
20140730,6
20140731,8
20140801,7
20140803,1
20140804,2
20140805,3
20140806,10
20140807,5
20140808,4
20140810,1
20140811,5
20140812,7
20140813,5
20140814,12
20140815,8
20140817,2
20140818,6
20140819,7
20140820,5
20140821,7
20140822,7
20140823,1
20140824,4
20140825,9
20140826,9
20140827,6
20140828,11
20140829,7
20140901,2
20140902,7
20140903,12
20140904,16
20140905,11
20140907,5
20140908,8
20140909,28
20140910,22
20140911,12
20140912,6
20140914,2
20140915,5
20140916,12
20140917,8
20140918,13
20140919,9
20140921,1
20140922,11
20140923,10
20140924,11
20140925,14
20140926,5
20140928,2
20140929,10
20140930,23
20141001,13
20141002,11
20141003,11
20141004,1
20141005,1
20141006,9
20141007,14
20141008,14
20141009,22
20141010,14
20141012,4
20141013,8
20141014,12
20141015,16
20141016,15
20141017,13
20141019,4
20141020,20
20141021,23
20141022,9
20141023,17
20141024,11
20141026,1
20141027,9
20141028,18
20141029,18
20141030,21
20141031,11
20141102,8
20141103,9
20141104,18
20141105,8
20141106,5
20141107,5
20141109,1
20141110,8
20141111,10
20141112,8
20141113,18
20141114,7
20141117,11
20141118,9
20141119,17
20141120,10
20141121,7
20141123,2
20141124,5
20141125,12
20141126,5
20141127,4
20141128,4
20141130,2
20141201,11
20141202,10
20141203,13
20141204,6
20141205,6
20141207,4
20141208,8
20141209,10
20141210,10
20141211,8
20141212,6
20141214,3
20141215,11
20141216,12
20141217,10
20141218,5
20141219,5
20141222,7
20141223,7
20141224,4
20141225,3
20141228,4
20141229,7
20141230,10
20141231,4
