date,title,p_pos,p_neg,classification
20140101,Google Unit Cuts Moto X Phone Price,0.3875343695639982,0.6124656304360027,neg
20140102,Stocks to Watch: Urban Outfitters Plug Power Apple,0.9192313345605468,0.08076866543945227,pos
20140102,What Your CEO Is Reading,0.6187277030676451,0.3812722969323556,pos
20140102,Martha Stewart Living Macy's Settle Dispute,0.664282857216587,0.3357171427834107,pos
20140102,Rovio Lets Angry Birds Roam Free,0.9475136708578231,0.05248632914217703,pos
20140102,The Morning Download: Skype Hack Has Implications for Consumerization,0.47080068100508055,0.5291993189949199,neg
20140102,Chinese Smartphone Maker Xiaomi Expands Into Singapore Aims to More than Double Smartphone Sales,0.8293312464682336,0.17066875353176578,pos
20140102,Rovio Exec: Why New 'Angry Birds' Is Free,0.5157562343185499,0.48424376568145117,pos
20140102,Study: Mobile Sales Hit Tipping Point in 2013,0.9946246978195593,0.005375302180439487,pos
20140102,Silicon Valley Bank Targets China Funds,0.7903667630497649,0.2096332369502355,pos
20140102,The Morning Risk Report: 3 Key Risk Areas for 2014,0.6311244566259749,0.36887554337402456,pos
20140102,Chinese Smartphone Maker Xiaomi's More Than Doubled Its Sales in 2013,0.8799473367614123,0.12005266323858925,pos
20140103,China Mobile's Costly iPhone Deal with Apple,0.9893289026034274,0.010671097396571468,pos
20140103,BlackBerry Sues Over its Best-Known Asset: The Keyboard,0.3638306382623994,0.6361693617376002,neg
20140103,Gracenote to Help Launch Music Services,0.6611013727244607,0.33889862727553943,pos
20140103,Andreessen: Tech Bubble Believers 'Don't Know What They're Talking About',0.4229996138695268,0.5770003861304736,neg
20140103,Liberty Media Unveils Plans for Sirius,0.9570186666323814,0.042981333367618786,pos
20140103,Law 2014: Patents Likely to Keep Top Billing in the News,0.4668743797805856,0.5331256202194147,neg
20140103,The Morning Download: Mandiant-FireEye Deal Reflects Security Needs,0.5519709258087672,0.4480290741912346,pos
20140103,Economic Upturn Helps Fuel Luxury Grab Bag Sales in Japan,0.6303858653809172,0.36961413461908255,pos
20140103,Samsung's New Year's Resolution: Get Rid of Old Habits,0.7541274236286308,0.2458725763713701,pos
20140105,Big Board Bests Nasdaq in Tech IPOs,0.28797093076291613,0.7120290692370848,neg
20140105,Consumer Electronics Show Keeps Reinventing Itself,0.7819429490968577,0.21805705090314342,pos
20140105,'Internet of Things' in Reach,0.6010176068693626,0.3989823931306377,pos
20140105,Car Makers at Consumer Electronics Show Tout Ways to Plug Autos Into the Web,0.15902754737872676,0.8409724526212717,neg
20140106,The Morning Risk Report: Era of Continual Risk Assessment,0.8842345066545809,0.11576549334541947,pos
20140106,Samsung Looks to Connect Smartphones Appliances,0.5721288001174907,0.4278711998825095,pos
20140106,The Morning Download: Why CIOs Should Care About CES,0.26113131178422294,0.7388686882157778,neg
20140106,Pandora Shares Surge to New High,0.7558928102826395,0.24410718971736073,pos
20140106,Trickle of Wearable Gadgets Becomes a Flood,0.33294574703838425,0.6670542529616146,neg
20140106,MakerBot Unveils a 3-D Printer Nearer to $1000,0.9166666666666673,0.08333333333333344,pos
20140106,Samsung Beefs Up Tablet Offerings for Businesses,0.26320601302510904,0.7367939869748902,neg
